Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C7",1210,2,1uF,C393665
"C10, C12, C14, C16, C2, C3, C6, C8",0603,8,10nF,C519509
"C11, C13, C15, C9",0603,4,1uF,C106214
C17,0603,1,1uF,
"C18, C19",0402,2,16pf,C77590
"C20, C23, C26, C32, C33, C5",0402,6,100nf,C60474
"C21, C22, C24, C25, C28, C29, C30, C31, C35, C36, C37, C38",1210,12,47uf,C77101
C27,0402,1,22pf,C1555
C34,0402,1,1uf,C2887020
C39,0603,1,1uf,C1592
C4,0603,1,1uF,C106215
CN1,R_Array_Convex_4x0603,1,1nF,C62856
"CN2, CN3, CN4",R_Array_Concave_4x0603,3,1nF,C62856
D1,D_SMA,1,SS14,C266551
IC1,QFN-64-1EP_9x9mm_P0.5mm_EP7.35x7.35mm,1,AD7771BCPZ,C651536
J1,DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm,1,DE15_Plug_HighDensity_MountingHoles,C75754
J2,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Receptacle_USB2.0_16P,C136423
J3,DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset4.94mm_Housed_MountingHolesOffset7.48mm,1,DE9_Plug_MountingHoles,C75749
J5,"TerminalBlock_Phoenix_MKDS-1,5-3_1x03_P5.00mm_Horizontal",1,Conn_01x03,C91154
"J7, J8, J9",JST_XA_B02B-XASK-1-A_1x02_P2.50mm_Vertical,3,Conn_01x02_Socket,
L1,L_Vishay_IFSC-1515AH_4x4x1.8mm,1,WPN4020H4R7MT,C98363
"Q1, Q11, Q13, Q15, Q3, Q5, Q7, Q9",SOT-23,8,BC817,C146798
"Q10, Q12, Q14, Q16, Q2, Q4, Q6, Q8",SOT-23,8,BC807,C82369
"R1, R15, R16, R17, R18, R23, R24, R25, R26, R28, R29, R30, R4, R6",0402,14,10K,C71617
"R10, R5",0603,2,1k2,C114605
"R11, R12, R13, R14, R19, R20, R21, R22",0402,8,1K5,C114759
"R2, R3",0603,2,100,C110091
"R33, R34",0402,2,4k7,C105871
R7,0402,1,33.2K,C130276
"R8, R9",0603,2,390,C507432
"RCC1, RCC2",0402,2,5.1K,C144745
"RN1, RN2, RN3, RN4",R_Array_Concave_4x0603,4,2.2K,C414564
RV1,Potentiometer_Bourns_3266Y_Vertical,1,150,C83685
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,C2913197
"U10, U11",TSSOP-14_4.4x5mm_P0.65mm,2,LM324,
U12,TSSOP-16_4.4x5mm_P0.65mm,1,DAC5578xPW,
"U2, U3, U4, U5",Texas_R-PDSO-N6_DRL-6,4,TPD4E001DRLR,C527516
U6,SOIC-8_3.9x4.9mm_P1.27mm,1,LM317L_SO8,C105219
U7,SOT-23-6,1,TPS563200,C97253
U8,SOT-23-6,1,LM2776,C840110
U9,SOIC-8_3.9x4.9mm_P1.27mm,1,LM337L_SO8,C544819
Y1,Crystal_SMD_SeikoEpson_FA238V-4Pin_3.2x2.5mm,1,Crystal_GND24,
